symbol,name,sector,exchange,region,universe
A,Agilent Technologies,Health Care,,US,SP500
AAPL,Apple Inc.,Information Technology,,US,SP500
ABBV,AbbVie,Health Care,,US,SP500
ABEV,Ambev SA,Consumer Staples,NYSE,Brazil,GLOBAL_ADR
ABNB,Airbnb,Consumer Discretionary,,US,SP500
ABT,Abbott Laboratories,Health Care,,US,SP500
ACGL,Arch Capital Group,Financials,,US,SP500
ACN,Accenture,Information Technology,,US,SP500
ADBE,Adobe Inc.,Information Technology,,US,SP500
ADI,Analog Devices,Information Technology,,US,SP500
ADM,Archer Daniels Midland,Consumer Staples,,US,SP500
ADP,Automatic Data Processing,Industrials,,US,SP500
ADSK,Autodesk,Information Technology,,US,SP500
AEE,Ameren,Utilities,,US,SP500
AEP,American Electric Power,Utilities,,US,SP500
AES,AES Corporation,Utilities,,US,SP500
AFL,Aflac,Financials,,US,SP500
AIG,American International Group,Financials,,US,SP500
AIZ,Assurant,Financials,,US,SP500
AJG,Arthur J. Gallagher & Co.,Financials,,US,SP500
AKAM,Akamai Technologies,Information Technology,,US,SP500
ALB,Albemarle Corporation,Materials,,US,SP500
ALGN,Align Technology,Health Care,,US,SP500
ALL,Allstate,Financials,,US,SP500
ALLE,Allegion,Industrials,,US,SP500
ALNY,Alnylam Pharmaceuticals,,NASDAQ,US,NDX100
AMAT,Applied Materials,Information Technology,,US,SP500
AMCR,Amcor,Materials,,US,SP500
AMD,Advanced Micro Devices,Information Technology,,US,SP500
AME,Ametek,Industrials,,US,SP500
AMGN,Amgen,Health Care,,US,SP500
AMP,Ameriprise Financial,Financials,,US,SP500
AMT,American Tower,Real Estate,,US,SP500
AMZN,Amazon,Consumer Discretionary,,US,SP500
ANET,Arista Networks,Information Technology,,US,SP500
AON,Aon plc,Financials,,US,SP500
AOS,A. O. Smith,Industrials,,US,SP500
APA,APA Corporation,Energy,,US,SP500
APD,Air Products,Materials,,US,SP500
APH,Amphenol,Information Technology,,US,SP500
APO,Apollo Global Management,Financials,,US,SP500
APP,AppLovin,Information Technology,,US,SP500
APTV,Aptiv,Consumer Discretionary,,US,SP500
ARCO,Arcos Dorados,Consumer Disc,NYSE,Latin America,GLOBAL_ADR
ARE,Alexandria Real Estate Equities,Real Estate,,US,SP500
ARES,Ares Management,Financials,,US,SP500
ARM,Arm Holdings,,NASDAQ,US,NDX100
ASML,ASML Holding,,NASDAQ,US,NDX100
ASX,ASE Technology,Technology,NYSE,Taiwan,GLOBAL_ADR
ATO,Atmos Energy,Utilities,,US,SP500
AU,AngloGold Ashanti,Materials,NYSE,South Africa,GLOBAL_ADR
AVB,AvalonBay Communities,Real Estate,,US,SP500
AVGO,Broadcom,Information Technology,,US,SP500
AVY,Avery Dennison,Materials,,US,SP500
AWK,American Water Works,Utilities,,US,SP500
AXON,Axon Enterprise,Industrials,,US,SP500
AXP,American Express,Financials,,US,SP500
AZN,AstraZeneca,Healthcare,NASDAQ,Europe,GLOBAL_ADR
AZO,AutoZone,Consumer Discretionary,,US,SP500
BA,Boeing,Industrials,,US,SP500
BABA,Alibaba Group,Technology,NYSE,China,GLOBAL_ADR
BAC,Bank of America,Financials,,US,SP500
BALL,Ball Corporation,Materials,,US,SP500
BAX,Baxter International,Health Care,,US,SP500
BBD-B,Bombardier,Industrials,NYSE,Canada,GLOBAL_ADR
BBY,Best Buy,Consumer Discretionary,,US,SP500
BDX,Becton Dickinson,Health Care,,US,SP500
BEN,Franklin Resources,Financials,,US,SP500
BF-B,Brown–Forman,Consumer Staples,,US,SP500
BG,Bunge Global,Consumer Staples,,US,SP500
BHP,BHP Group,Materials,NYSE,Australia,GLOBAL_ADR
BIDU,Baidu,Technology,NASDAQ,China,GLOBAL_ADR
BIIB,Biogen,Health Care,,US,SP500
BK,BNY Mellon,Financials,,US,SP500
BKNG,Booking Holdings,Consumer Discretionary,,US,SP500
BKR,Baker Hughes,Energy,,US,SP500
BLDR,Builders FirstSource,Industrials,,US,SP500
BLK,BlackRock,Financials,,US,SP500
BMY,Bristol Myers Squibb,Health Care,,US,SP500
BP,BP plc,Energy,NYSE,Europe,GLOBAL_ADR
BR,Broadridge Financial Solutions,Industrials,,US,SP500
BRK-B,Berkshire Hathaway,Financials,,US,SP500
BRO,Brown & Brown,Financials,,US,SP500
BSBR,Banco Bradesco,Financials,NYSE,Brazil,GLOBAL_ADR
BSX,Boston Scientific,Health Care,,US,SP500
BTI,British American Tobacco,Consumer Staples,NYSE,Europe,GLOBAL_ADR
BX,Blackstone Inc.,Financials,,US,SP500
BXP,"BXP, Inc.",Real Estate,,US,SP500
C,Citigroup,Financials,,US,SP500
CAG,Conagra Brands,Consumer Staples,,US,SP500
CAH,Cardinal Health,Health Care,,US,SP500
CARR,Carrier Global,Industrials,,US,SP500
CAT,Caterpillar Inc.,Industrials,,US,SP500
CB,Chubb Limited,Financials,,US,SP500
CBOE,Cboe Global Markets,Financials,,US,SP500
CBRE,CBRE Group,Real Estate,,US,SP500
CCEP,Coca-Cola Europacific Partners,,NASDAQ,US,NDX100
CCI,Crown Castle,Real Estate,,US,SP500
CCL,Carnival,Consumer Discretionary,,US,SP500
CDNS,Cadence Design Systems,Information Technology,,US,SP500
CDW,CDW Corporation,Information Technology,,US,SP500
CEG,Constellation Energy,Utilities,,US,SP500
CF,CF Industries,Materials,,US,SP500
CFG,Citizens Financial Group,Financials,,US,SP500
CHD,Church & Dwight,Consumer Staples,,US,SP500
CHRW,C.H. Robinson,Industrials,,US,SP500
CHTR,Charter Communications,Communication Services,,US,SP500
CI,Cigna,Health Care,,US,SP500
CIEN,Ciena,Information Technology,,US,SP500
CIG,CEMIG,Utilities,NYSE,Brazil,GLOBAL_ADR
CINF,Cincinnati Financial,Financials,,US,SP500
CL,Colgate-Palmolive,Consumer Staples,,US,SP500
CLX,Clorox,Consumer Staples,,US,SP500
CMCSA,Comcast,Communication Services,,US,SP500
CME,CME Group,Financials,,US,SP500
CMG,Chipotle Mexican Grill,Consumer Discretionary,,US,SP500
CMI,Cummins,Industrials,,US,SP500
CMS,CMS Energy,Utilities,,US,SP500
CNC,Centene Corporation,Health Care,,US,SP500
CNI,Canadian National Railway,Industrials,NYSE,Canada,GLOBAL_ADR
CNP,CenterPoint Energy,Utilities,,US,SP500
COF,Capital One,Financials,,US,SP500
COIN,Coinbase,Financials,,US,SP500
COO,Cooper Companies (The),Health Care,,US,SP500
COP,ConocoPhillips,Energy,,US,SP500
COR,Cencora,Health Care,,US,SP500
COST,Costco,Consumer Staples,,US,SP500
CP,Canadian Pacific Kansas City,Industrials,NYSE,Canada,GLOBAL_ADR
CPAY,Corpay,Financials,,US,SP500
CPB,Campbell's Company (The),Consumer Staples,,US,SP500
CPRT,Copart,Industrials,,US,SP500
CPT,Camden Property Trust,Real Estate,,US,SP500
CRH,CRH plc,Materials,,US,SP500
CRL,Charles River Laboratories,Health Care,,US,SP500
CRM,Salesforce,Information Technology,,US,SP500
CRWD,CrowdStrike,Information Technology,,US,SP500
CS,Credit Suisse,Financials,NYSE,Europe,GLOBAL_ADR
CSCO,Cisco,Information Technology,,US,SP500
CSGP,CoStar Group,Real Estate,,US,SP500
CSX,CSX Corporation,Industrials,,US,SP500
CTAS,Cintas,Industrials,,US,SP500
CTRA,Coterra,Energy,,US,SP500
CTSH,Cognizant,Information Technology,,US,SP500
CTVA,Corteva,Materials,,US,SP500
CVNA,Carvana,Consumer Discretionary,,US,SP500
CVS,CVS Health,Health Care,,US,SP500
CVX,Chevron Corporation,Energy,,US,SP500
D,Dominion Energy,Utilities,,US,SP500
DAL,Delta Air Lines,Industrials,,US,SP500
DASH,DoorDash,Consumer Discretionary,,US,SP500
DB,Deutsche Bank,Financials,NYSE,Europe,GLOBAL_ADR
DD,DuPont,Materials,,US,SP500
DDOG,Datadog,Information Technology,,US,SP500
DE,Deere & Company,Industrials,,US,SP500
DECK,Deckers Brands,Consumer Discretionary,,US,SP500
DELL,Dell Technologies,Information Technology,,US,SP500
DG,Dollar General,Consumer Staples,,US,SP500
DGX,Quest Diagnostics,Health Care,,US,SP500
DHI,D. R. Horton,Consumer Discretionary,,US,SP500
DHR,Danaher Corporation,Health Care,,US,SP500
DIS,Walt Disney Company (The),Communication Services,,US,SP500
DLR,Digital Realty,Real Estate,,US,SP500
DLTR,Dollar Tree,Consumer Staples,,US,SP500
DOC,Healthpeak Properties,Real Estate,,US,SP500
DOV,Dover Corporation,Industrials,,US,SP500
DOW,Dow Inc.,Materials,,US,SP500
DPZ,Domino's,Consumer Discretionary,,US,SP500
DRI,Darden Restaurants,Consumer Discretionary,,US,SP500
DTE,DTE Energy,Utilities,,US,SP500
DUK,Duke Energy,Utilities,,US,SP500
DVA,DaVita,Health Care,,US,SP500
DVN,Devon Energy,Energy,,US,SP500
DXCM,Dexcom,Health Care,,US,SP500
EA,Electronic Arts,Communication Services,,US,SP500
EBAY,eBay Inc.,Consumer Discretionary,,US,SP500
ECL,Ecolab,Materials,,US,SP500
ED,Consolidated Edison,Utilities,,US,SP500
EFX,Equifax,Industrials,,US,SP500
EG,Everest Group,Financials,,US,SP500
EIX,Edison International,Utilities,,US,SP500
EL,Estée Lauder Companies (The),Consumer Staples,,US,SP500
ELV,Elevance Health,Health Care,,US,SP500
EME,Emcor,Industrials,,US,SP500
EMR,Emerson Electric,Industrials,,US,SP500
ENB,Enbridge,Energy,NYSE,Canada,GLOBAL_ADR
ENLAY,Enel SpA,Utilities,OTC,Italy,GLOBAL_ADR
EIPAF,Eni SpA,Energy,OTC,Italy,GLOBAL_ADR
EOG,EOG Resources,Energy,,US,SP500
EPAM,EPAM Systems,Information Technology,,US,SP500
EQIX,Equinix,Real Estate,,US,SP500
EQR,Equity Residential,Real Estate,,US,SP500
EQT,EQT Corporation,Energy,,US,SP500
ERIC,Ericsson,Technology,NASDAQ,Europe,GLOBAL_ADR
ERIE,Erie Indemnity,Financials,,US,SP500
ERJ,Embraer,Industrials,NYSE,Brazil,GLOBAL_ADR
ES,Eversource Energy,Utilities,,US,SP500
ESS,Essex Property Trust,Real Estate,,US,SP500
ETN,Eaton Corporation,Industrials,,US,SP500
ETR,Entergy,Utilities,,US,SP500
EVRG,Evergy,Utilities,,US,SP500
EW,Edwards Lifesciences,Health Care,,US,SP500
EXC,Exelon,Utilities,,US,SP500
EXE,Expand Energy,Energy,,US,SP500
EXPD,Expeditors International,Industrials,,US,SP500
EXPE,Expedia Group,Consumer Discretionary,,US,SP500
EXR,Extra Space Storage,Real Estate,,US,SP500
F,Ford Motor Company,Consumer Discretionary,,US,SP500
FANG,Diamondback Energy,Energy,,US,SP500
FANUY,Fanuc,Industrials,OTC,Japan,GLOBAL_ADR
FAST,Fastenal,Industrials,,US,SP500
FCX,Freeport-McMoRan,Materials,,US,SP500
FDS,FactSet,Financials,,US,SP500
FDX,FedEx,Industrials,,US,SP500
FE,FirstEnergy,Utilities,,US,SP500
FER,Ferrovial,,NASDAQ,US,NDX100
FFIV,"F5, Inc.",Information Technology,,US,SP500
FICO,Fair Isaac,Information Technology,,US,SP500
FIS,Fidelity National Information Services,Financials,,US,SP500
FISV,Fiserv,Financials,,US,SP500
FITB,Fifth Third Bancorp,Financials,,US,SP500
FIX,Comfort Systems USA,Industrials,,US,SP500
FOX,Fox Corporation (Class B),Communication Services,,US,SP500
FOXA,Fox Corporation (Class A),Communication Services,,US,SP500
FRT,Federal Realty Investment Trust,Real Estate,,US,SP500
FSLR,First Solar,Information Technology,,US,SP500
FTNT,Fortinet,Information Technology,,US,SP500
FTV,Fortive,Industrials,,US,SP500
GD,General Dynamics,Industrials,,US,SP500
GDDY,GoDaddy,Information Technology,,US,SP500
GDS,GDS Holdings,Technology,NASDAQ,China,GLOBAL_ADR
GE,GE Aerospace,Industrials,,US,SP500
GEHC,GE HealthCare,Health Care,,US,SP500
GEN,Gen Digital,Information Technology,,US,SP500
GEV,GE Vernova,Industrials,,US,SP500
GFI,Gold Fields,Materials,NYSE,South Africa,GLOBAL_ADR
GILD,Gilead Sciences,Health Care,,US,SP500
GIS,General Mills,Consumer Staples,,US,SP500
GL,Globe Life,Financials,,US,SP500
GLOB,Globant,Technology,NYSE,Latin America,GLOBAL_ADR
GLW,Corning Inc.,Information Technology,,US,SP500
GM,General Motors,Consumer Discretionary,,US,SP500
GNRC,Generac,Industrials,,US,SP500
GOLD,Harmony Gold,Materials,NYSE,South Africa,GLOBAL_ADR
GOOG,Alphabet Inc. (Class C),Communication Services,,US,SP500
GOOGL,Alphabet Inc. (Class A),Communication Services,,US,SP500
GPC,Genuine Parts Company,Consumer Discretionary,,US,SP500
GPN,Global Payments,Financials,,US,SP500
GRMN,Garmin,Consumer Discretionary,,US,SP500
GS,Goldman Sachs,Financials,,US,SP500
GSK,GSK plc,Healthcare,NYSE,Europe,GLOBAL_ADR
GWW,W. W. Grainger,Industrials,,US,SP500
HAL,Halliburton,Energy,,US,SP500
HAS,Hasbro,Consumer Discretionary,,US,SP500
HBAN,Huntington Bancshares,Financials,,US,SP500
HCA,HCA Healthcare,Health Care,,US,SP500
HD,Home Depot (The),Consumer Discretionary,,US,SP500
HDB,HDFC Bank,Financials,NYSE,India,GLOBAL_ADR
HIG,Hartford (The),Financials,,US,SP500
HII,Huntington Ingalls Industries,Industrials,,US,SP500
HIMX,Himax Technologies,Technology,NASDAQ,Taiwan,GLOBAL_ADR
HL,Hecla Mining,Materials,NYSE,South Africa,GLOBAL_ADR
HLT,Hilton Worldwide,Consumer Discretionary,,US,SP500
HMC,Honda Motor,Automotive,NYSE,Japan,GLOBAL_ADR
HOLX,Hologic,Health Care,,US,SP500
HON,Honeywell,Industrials,,US,SP500
HOOD,Robinhood Markets,Financials,,US,SP500
HPE,Hewlett Packard Enterprise,Information Technology,,US,SP500
HPQ,HP Inc.,Information Technology,,US,SP500
HRL,Hormel Foods,Consumer Staples,,US,SP500
HSBC,HSBC Holdings,Financials,NYSE,Europe,GLOBAL_ADR
HSIC,Henry Schein,Health Care,,US,SP500
HST,Host Hotels & Resorts,Real Estate,,US,SP500
HSY,Hershey Company (The),Consumer Staples,,US,SP500
HUBB,Hubbell Incorporated,Industrials,,US,SP500
HUM,Humana,Health Care,,US,SP500
HWM,Howmet Aerospace,Industrials,,US,SP500
IBKR,Interactive Brokers,Financials,,US,SP500
IBM,IBM,Information Technology,,US,SP500
IBN,ICICI Bank,Financials,NYSE,India,GLOBAL_ADR
ICE,Intercontinental Exchange,Financials,,US,SP500
IDXX,Idexx Laboratories,Health Care,,US,SP500
IEX,IDEX Corporation,Industrials,,US,SP500
IFF,International Flavors & Fragrances,Materials,,US,SP500
INCY,Incyte,Health Care,,US,SP500
INFY,Infosys,Technology,NYSE,India,GLOBAL_ADR
ING,ING Group,Financials,NYSE,Europe,GLOBAL_ADR
INSM,Insmed Incorporated,,NASDAQ,US,NDX100
INTC,Intel,Information Technology,,US,SP500
INTU,Intuit,Information Technology,,US,SP500
INVH,Invitation Homes,Real Estate,,US,SP500
IP,International Paper,Materials,,US,SP500
IQ,iQIYI,Communication,NASDAQ,China,GLOBAL_ADR
IQV,IQVIA,Health Care,,US,SP500
IR,Ingersoll Rand,Industrials,,US,SP500
IRM,Iron Mountain,Real Estate,,US,SP500
ISRG,Intuitive Surgical,Health Care,,US,SP500
IT,Gartner,Information Technology,,US,SP500
ITOCY,Itochu Corp,Industrials,OTC,Europe,GLOBAL_ADR
ITUB,Itau Unibanco,Financials,NYSE,Brazil,GLOBAL_ADR
ITW,Illinois Tool Works,Industrials,,US,SP500
IVZ,Invesco,Financials,,US,SP500
IX,ORIX Corporation,Financials,NYSE,Japan,GLOBAL_ADR
J,Jacobs Solutions,Industrials,,US,SP500
JBHT,J.B. Hunt,Industrials,,US,SP500
JBL,Jabil,Information Technology,,US,SP500
JCI,Johnson Controls,Industrials,,US,SP500
JD,JD.com,Consumer Disc,NASDAQ,China,GLOBAL_ADR
JKHY,Jack Henry & Associates,Financials,,US,SP500
JNJ,Johnson & Johnson,Health Care,,US,SP500
JPM,JPMorgan Chase,Financials,,US,SP500
KB,KB Financial Group,Financials,NYSE,South Korea,GLOBAL_ADR
KDP,Keurig Dr Pepper,Consumer Staples,,US,SP500
KEP,Korea Electric Power,Utilities,NYSE,South Korea,GLOBAL_ADR
KEY,KeyCorp,Financials,,US,SP500
KEYS,Keysight Technologies,Information Technology,,US,SP500
KHC,Kraft Heinz,Consumer Staples,,US,SP500
KIM,Kimco Realty,Real Estate,,US,SP500
KKR,KKR & Co.,Financials,,US,SP500
KLAC,KLA Corporation,Information Technology,,US,SP500
KMB,Kimberly-Clark,Consumer Staples,,US,SP500
KMI,Kinder Morgan,Energy,,US,SP500
KO,Coca-Cola Company (The),Consumer Staples,,US,SP500
KR,Kroger,Consumer Staples,,US,SP500
KT,KT Corp,Communication,NYSE,South Korea,GLOBAL_ADR
KVUE,Kenvue,Consumer Staples,,US,SP500
KYOCY,Kyocera,Technology,OTC,Japan,GLOBAL_ADR
L,Loews Corporation,Financials,,US,SP500
LDOS,Leidos,Industrials,,US,SP500
LEN,Lennar,Consumer Discretionary,,US,SP500
LH,Labcorp,Health Care,,US,SP500
LHX,L3Harris,Industrials,,US,SP500
LI,Li Auto,Automotive,NASDAQ,China,GLOBAL_ADR
LII,Lennox International,Industrials,,US,SP500
LIN,Linde plc,Materials,,US,SP500
LLY,Lilly (Eli),Health Care,,US,SP500
LMT,Lockheed Martin,Industrials,,US,SP500
LNT,Alliant Energy,Utilities,,US,SP500
LOW,Lowe's,Consumer Discretionary,,US,SP500
LPL,LG Display,Technology,NYSE,South Korea,GLOBAL_ADR
LRCX,Lam Research,Information Technology,,US,SP500
LULU,Lululemon Athletica,Consumer Discretionary,,US,SP500
LUV,Southwest Airlines,Industrials,,US,SP500
LVS,Las Vegas Sands,Consumer Discretionary,,US,SP500
LW,Lamb Weston,Consumer Staples,,US,SP500
LYB,LyondellBasell,Materials,,US,SP500
LYG,Lloyds Banking Group,Financials,NYSE,Europe,GLOBAL_ADR
LYV,Live Nation Entertainment,Communication Services,,US,SP500
MA,Mastercard,Financials,,US,SP500
MAA,Mid-America Apartment Communities,Real Estate,,US,SP500
MAR,Marriott International,Consumer Discretionary,,US,SP500
MAS,Masco,Industrials,,US,SP500
MCD,McDonald's,Consumer Discretionary,,US,SP500
MCHP,Microchip Technology,Information Technology,,US,SP500
MCK,McKesson Corporation,Health Care,,US,SP500
MCO,Moody's Corporation,Financials,,US,SP500
MDLZ,Mondelez International,Consumer Staples,,US,SP500
MDT,Medtronic,Health Care,,US,SP500
MELI,Mercado Libre,,NASDAQ,US,NDX100
MET,MetLife,Financials,,US,SP500
META,Meta Platforms,Communication Services,,US,SP500
MFC,Manulife Financial,Financials,NYSE,Canada,GLOBAL_ADR
MFG,Mizuho Financial,Financials,NYSE,Japan,GLOBAL_ADR
MGM,MGM Resorts,Consumer Discretionary,,US,SP500
MKC,McCormick & Company,Consumer Staples,,US,SP500
MLM,Martin Marietta Materials,Materials,,US,SP500
MMM,3M,Industrials,,US,SP500
MNST,Monster Beverage,Consumer Staples,,US,SP500
MO,Altria,Consumer Staples,,US,SP500
